epoch,step,train_loss,val/mse,val_loss
35,5949,0.00370673555880785,,
35,5999,0.009134476073086262,,
35,6047,,0.010196327231824398,0.010196327231824398
36,6049,0.005301269702613354,,
36,6099,0.008171805180609226,,
36,6149,0.007179463282227516,,
36,6199,0.0341515876352787,,
36,6215,,0.01015758328139782,0.01015758328139782
37,6249,0.00484485924243927,,
37,6299,0.006829127203673124,,
37,6349,0.02041526883840561,,
37,6383,,0.009588637389242649,0.009588637389242649
38,6399,0.0034569555427879095,,
38,6449,0.010910939425230026,,
38,6499,0.0027091489173471928,,
38,6549,0.012610986828804016,,
38,6551,,0.012713117524981499,0.012713117524981499
39,6599,0.015794003382325172,,
39,6649,0.007682188414037228,,
39,6699,0.007708451710641384,,
39,6719,,0.00937940925359726,0.00937940925359726
40,6749,0.003993778955191374,,
40,6799,0.004491804633289576,,
40,6849,0.004516054876148701,,
40,6887,,0.01277066394686699,0.01277066394686699
41,6899,0.004652395844459534,,
41,6949,0.007827232591807842,,
41,6999,0.012384188361465931,,
41,7049,0.005531595554202795,,
41,7055,,0.009863086976110935,0.009863086976110935
42,7099,0.003580008167773485,,
42,7149,0.00904877670109272,,
42,7199,0.005892048589885235,,
42,7223,,0.011084446683526039,0.011084446683526039
43,7249,0.004820246249437332,,
43,7299,0.004145200364291668,,
43,7349,0.005667501129209995,,
43,7391,,0.009398821741342545,0.009398821741342545
44,7399,0.010366641916334629,,
44,7449,0.004479291383177042,,
44,7499,0.017393995076417923,,
44,7549,0.0057857464998960495,,
44,7559,,0.011034585535526276,0.011034585535526276
45,7599,0.0037966740783303976,,
45,7649,0.007152800913900137,,
45,7699,0.003340446623042226,,
45,7727,,0.00983484648168087,0.00983484648168087
46,7749,0.013893247582018375,,
46,7799,0.005021741148084402,,
46,7849,0.00882435031235218,,
46,7895,,0.011090981774032116,0.011090981774032116
47,7899,0.0035677324049174786,,
47,7949,0.005738368723541498,,
47,7999,0.005615580826997757,,
47,8049,0.00982214231044054,,
47,8063,,0.008992191404104233,0.008992191404104233
48,8099,0.011911188252270222,,
48,8149,0.006119125057011843,,
48,8199,0.005854970309883356,,
48,8231,,0.010928601957857609,0.010928601957857609
49,8249,0.0040747253224253654,,
49,8299,0.012018661946058273,,
49,8349,0.011194386519491673,,
49,8399,0.008989295922219753,,
49,8399,,0.008127966895699501,0.008127966895699501
